2018 Headline,2018 hierarchy_level,2017 Headline,2017 hierarchy_level,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
"[§466. Repealed. Pub. L. 99–514, title VIII, §823(a), Oct. 22, 1986, 100 Stat. 2373]",6.Section,"[§2517. Repealed. Pub. L. 99–514, title XVIII, §1852(e)(2)(A), Oct. 22, 1986, 100 Stat. 2868]",6.Section,0.74,17,0.56
"[§466. Repealed. Pub. L. 99–514, title VIII, §823(a), Oct. 22, 1986, 100 Stat. 2373]",6.Section,"[§6039B. Repealed. Pub. L. 99–514, title XIII, §1303(b)(5), Oct. 22, 1986, 100 Stat. 2658]",6.Section,0.75,16,0.56
"[§466. Repealed. Pub. L. 99–514, title VIII, §823(a), Oct. 22, 1986, 100 Stat. 2373]",6.Section,"[§6152. Repealed. Pub. L. 99–514, title XIV, §1404(c)(1), Oct. 22, 1986, 100 Stat. 2714]",6.Section,0.66,18,0.56
"[§466. Repealed. Pub. L. 99–514, title VIII, §823(a), Oct. 22, 1986, 100 Stat. 2373]",6.Section,"[§6678. Repealed. Pub. L. 99–514, title XV, §1501(d)(2), Oct. 22, 1986, 100 Stat. 2740]",6.Section,0.75,18,0.56
§467. Certain payments for the use of property or services,6.Section,§467. Certain payments for the use of property or services,6.Section,1.00,0,1.00
§468. Special rules for mining and solid waste reclamation and closing costs,6.Section,§468. Special rules for mining and solid waste reclamation and closing costs,6.Section,1.00,0,1.00
§468A. Special rules for nuclear decommissioning costs,6.Section,§468A. Special rules for nuclear decommissioning costs,6.Section,1.00,0,1.00
§468B. Special rules for designated settlement funds,6.Section,§468B. Special rules for designated settlement funds,6.Section,1.00,0,1.00
§469. Passive activity losses and credits limited,6.Section,§469. Passive activity losses and credits limited,6.Section,1.00,0,1.00
§470. Limitation on deductions allocable to property used by governments or other tax-exempt entities,6.Section,§470. Limitation on deductions allocable to property used by governments or other tax-exempt entities,6.Section,1.00,0,1.00
Subpart D—Inventories,5.Subpart,Subpart B—Other Credits,5.Subpart,0.69,10,0.25
Subpart D—Inventories,5.Subpart,Subpart C—Insolvent Plans,5.Subpart,0.66,9,0.25
Subpart D—Inventories,5.Subpart,Subpart D—Inventories,5.Subpart,1.00,0,1.00
Subpart D—Inventories,5.Subpart,Subpart C—Wines,5.Subpart,0.64,9,0.33
Subpart D—Inventories,5.Subpart,Subpart D—Beer,5.Subpart,0.76,9,0.33
Subpart D—Inventories,5.Subpart,Subpart A—General,5.Subpart,0.60,9,0.33
Subpart D—Inventories,5.Subpart,Subpart C—Storage,5.Subpart,0.77,9,0.33
Subpart D—Inventories,5.Subpart,Subpart D—Denaturation,5.Subpart,0.81,9,0.33
Subpart D—Inventories,5.Subpart,§5369. Inventories,6.Section,0.37,9,0.00
Subpart D—Inventories,5.Subpart,§5721. Inventories,6.Section,0.38,9,0.00
Subpart D—Inventories,5.Subpart,Subchapter D—Possessions,3.Subchapter,0.88,15,0.00
§471. General rule for inventories,6.Section,§471. General rule for inventories,6.Section,1.00,0,1.00
"§472. Last-in, first-out inventories",6.Section,"§472. Last-in, first-out inventories",6.Section,1.00,0,1.00
§473. Qualified liquidations of LIFO inventories,6.Section,§473. Qualified liquidations of LIFO inventories,6.Section,1.00,0,1.00
§474. Simplified dollar-value LIFO method for certain small businesses,6.Section,§474. Simplified dollar-value LIFO method for certain small businesses,6.Section,1.00,0,1.00
§475. Mark to market accounting method for dealers in securities,6.Section,§475. Mark to market accounting method for dealers in securities,6.Section,1.00,0,1.00
PART III—ADJUSTMENTS,4.Part,PART III—ADJUSTMENTS,4.Part,1.00,0,1.00
PART III—ADJUSTMENTS,4.Part,PART I—DEDUCTIONS,4.Part,0.74,9,0.33
PART III—ADJUSTMENTS,4.Part,PART III—SALES AND EXCHANGES,4.Part,0.80,15,0.20
PART III—ADJUSTMENTS,4.Part,PART III—DEFINITIONS,4.Part,0.92,9,0.33
PART III—ADJUSTMENTS,4.Part,PART III—SPECIAL RULES,4.Part,0.84,12,0.25
PART III—ADJUSTMENTS,4.Part,PART III—ADDITIONAL INCENTIVES,4.Part,0.88,15,0.25
PART III—ADJUSTMENTS,4.Part,PART III—GROSS ESTATE,4.Part,0.83,10,0.25
PART III—ADJUSTMENTS,4.Part,PART II—TIRES,4.Part,0.74,10,0.33
PART III—ADJUSTMENTS,4.Part,PART III—FIREARMS,4.Part,0.85,9,0.33
PART III—ADJUSTMENTS,4.Part,PART I—PERSONS,4.Part,0.66,10,0.33
PART III—ADJUSTMENTS,4.Part,PART II—PROPERTY,4.Part,0.70,10,0.33
PART III—ADJUSTMENTS,4.Part,PART III—MISCELLANEOUS PROVISIONS,4.Part,0.88,20,0.25
PART III—ADJUSTMENTS,4.Part,PART I—ESTABLISHMENT,4.Part,0.72,9,0.33
PART III—ADJUSTMENTS,4.Part,PART II—OPERATIONS,4.Part,0.75,9,0.33
PART III—ADJUSTMENTS,4.Part,PART I—ESTABLISHMENT,4.Part,0.72,9,0.33
PART III—ADJUSTMENTS,4.Part,PART II—OPERATIONS,4.Part,0.75,9,0.33
PART III—ADJUSTMENTS,4.Part,PART II—EXEMPTIONS,4.Part,0.75,9,0.33
PART III—ADJUSTMENTS,4.Part,PART III—INFORMATION RETURNS,4.Part,0.83,15,0.25
PART III—ADJUSTMENTS,4.Part,PART II—LIENS,4.Part,0.70,9,0.33
PART III—ADJUSTMENTS,4.Part,PART III—APPLICABLE RULES,4.Part,0.86,13,0.25
PART III—ADJUSTMENTS,4.Part,PART III—MISCELLANEOUS PROVISIONS,4.Part,0.88,20,0.25
PART III—ADJUSTMENTS,4.Part,PART III—ENFORCEMENT,4.Part,0.92,8,0.33
§481. Adjustments required by changes in method of accounting,6.Section,§481. Adjustments required by changes in method of accounting,6.Section,1.00,0,1.00
§482. Allocation of income and deductions among taxpayers,6.Section,§482. Allocation of income and deductions among taxpayers,6.Section,1.00,0,1.00
§483. Interest on certain deferred payments,6.Section,§483. Interest on certain deferred payments,6.Section,1.00,0,1.00
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,1.00,0,1.00
PART I—GENERAL RULE,4.Part,[PART V—REPEALED],4.Part,0.47,10,0.00
PART I—GENERAL RULE,4.Part,[PART IV—REPEALED],4.Part,0.48,10,0.00
PART I—GENERAL RULE,4.Part,PART I—GENERAL RULE,4.Part,1.00,0,1.00
PART I—GENERAL RULE,4.Part,[PART II—REPEALED],4.Part,0.51,10,0.00
PART I—GENERAL RULE,4.Part,[PART IV—REPEALED],4.Part,0.48,10,0.00
PART I—GENERAL RULE,4.Part,[PART V—REPEALED],4.Part,0.47,10,0.00
PART I—GENERAL RULE,4.Part,PART IV—SPECIAL RULES,4.Part,0.73,7,0.20
PART I—GENERAL RULE,4.Part,[PART V—REPEALED],4.Part,0.47,10,0.00
PART I—GENERAL RULE,4.Part,[PART VI—REPEALED],4.Part,0.51,10,0.00
PART I—GENERAL RULE,4.Part,[PART IX—REPEALED],4.Part,0.45,10,0.00
PART I—GENERAL RULE,4.Part,[PART IV—REPEALED],4.Part,0.48,10,0.00
PART I—GENERAL RULE,4.Part,[PART VI—REPEALED],4.Part,0.51,10,0.00
PART I—GENERAL RULE,4.Part,PART I—IN GENERAL,4.Part,0.90,8,0.20
PART I—GENERAL RULE,4.Part,PART III—SPECIAL RULES,4.Part,0.73,8,0.20
PART I—GENERAL RULE,4.Part,PART I—IN GENERAL,4.Part,0.90,8,0.20
PART I—GENERAL RULE,4.Part,PART I—GAS GUZZLERS,4.Part,0.68,10,0.20
PART I—GENERAL RULE,4.Part,[PART II—REPEALED],4.Part,0.51,10,0.00
PART I—GENERAL RULE,4.Part,PART I—PERSONS,4.Part,0.75,10,0.25
PART I—GENERAL RULE,4.Part,PART I—GENERAL PROVISIONS,4.Part,0.93,9,0.50
PART I—GENERAL RULE,4.Part,PART II—OPERATIONS,4.Part,0.65,10,0.25
PART I—GENERAL RULE,4.Part,PART IV—GENERAL,4.Part,0.78,6,0.25
PART I—GENERAL RULE,4.Part,PART II—OPERATIONS,4.Part,0.65,10,0.25
PART I—GENERAL RULE,4.Part,PART I—VINEGAR PLANTS,4.Part,0.65,10,0.20
PART I—GENERAL RULE,4.Part,[PART V—REPEALED],4.Part,0.47,10,0.00
PART I—GENERAL RULE,4.Part,PART I—GENERAL PROVISIONS,4.Part,0.93,9,0.50
PART I—GENERAL RULE,4.Part,PART I—IN GENERAL,4.Part,0.90,8,0.20
PART I—GENERAL RULE,4.Part,PART I—GENERAL PROVISIONS,4.Part,0.93,9,0.50
PART I—GENERAL RULE,4.Part,PART I—GENERAL PROVISIONS,4.Part,0.93,9,0.50
PART I—GENERAL RULE,4.Part,PART I—GENERAL PROVISIONS,4.Part,0.93,9,0.50
PART I—GENERAL RULE,4.Part,PART II—PROCEDURE,4.Part,0.68,10,0.25
PART I—GENERAL RULE,4.Part,CHAPTER 80—GENERAL RULES,2.Chapter,0.63,8,0.00
"§501. Exemption from tax on corporations, certain trusts, etc.",6.Section,"§501. Exemption from tax on corporations, certain trusts, etc.",6.Section,1.00,0,1.00
§502. Feeder organizations,6.Section,§502. Feeder organizations,6.Section,1.00,0,1.00
§503. Requirements for exemption,6.Section,§503. Requirements for exemption,6.Section,1.00,0,1.00
§504. Status after organization ceases to qualify for exemption under section 501(c)(3) because of substantial lobbying or because of political activities,6.Section,§504. Status after organization ceases to qualify for exemption under section 501(c)(3) because of substantial lobbying or because of political activities,6.Section,1.00,0,1.00
§505. Additional requirements for organizations described in paragraph (9) or (17) of section 501(c),6.Section,"§505. Additional requirements for organizations described in paragraph (9), (17), or (20) of section 501(c)",6.Section,0.97,9,0.71
§506. Organizations required to notify Secretary of intent to operate under 501(c)(4),6.Section,§506. Organizations required to notify Secretary of intent to operate under 501(c)(4),6.Section,1.00,0,1.00
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—TAX ON CORPORATIONS,4.Part,0.83,12,0.17
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—CORPORATE LIQUIDATIONS,4.Part,0.88,9,0.20
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—CERTAIN STOCK OPTIONS,4.Part,0.81,13,0.17
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—PRIVATE FOUNDATIONS,4.Part,1.00,0,1.00
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—PERSONAL HOLDING COMPANIES,4.Part,0.91,19,0.17
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—OTHER INSURANCE COMPANIES,4.Part,0.84,18,0.17
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—REAL ESTATE INVESTMENT TRUSTS,4.Part,0.84,22,0.14
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—CERTAIN CONTROLLED CORPORATIONS,4.Part,0.82,19,0.17
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—PROPERTY,4.Part,0.81,15,0.25
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—MISCELLANEOUS PROVISIONS,4.Part,0.83,18,0.20
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—PARTNERSHIP ADJUSTMENTS,4.Part,0.82,17,0.20
PART II—PRIVATE FOUNDATIONS,4.Part,PART II—FINANCING,4.Part,0.80,14,0.25
§507. Termination of private foundation status,6.Section,§507. Termination of private foundation status,6.Section,1.00,0,1.00
§508. Special rules with respect to section 501(c)(3) organizations,6.Section,§508. Special rules with respect to section 501(c)(3) organizations,6.Section,1.00,0,1.00
§509. Private foundation defined,6.Section,§509. Private foundation defined,6.Section,1.00,0,1.00
PART III—TAXATION OF BUSINESS INCOME OF CERTAIN EXEMPT ORGANIZATIONS,4.Part,PART III—TAXATION OF BUSINESS INCOME OF CERTAIN EXEMPT ORGANIZATIONS,4.Part,1.00,0,1.00
"§511. Imposition of tax on unrelated business income of charitable, etc., organizations",6.Section,"§511. Imposition of tax on unrelated business income of charitable, etc., organizations",6.Section,1.00,0,1.00
§512. Unrelated business taxable income,6.Section,§512. Unrelated business taxable income,6.Section,1.00,0,1.00
§512. Unrelated business taxable income,6.Section,§514. Unrelated debt-financed income,6.Section,0.82,15,0.29
§513. Unrelated trade or business,6.Section,§513. Unrelated trade or business,6.Section,1.00,0,1.00
§514. Unrelated debt-financed income,6.Section,§512. Unrelated business taxable income,6.Section,0.82,15,0.29
§514. Unrelated debt-financed income,6.Section,§514. Unrelated debt-financed income,6.Section,1.00,0,1.00
§515. Taxes of foreign countries and possessions of the United States,6.Section,§27. Taxes of foreign countries and possessions of the United States; possession tax credit,6.Section,0.61,26,0.53
§515. Taxes of foreign countries and possessions of the United States,6.Section,§515. Taxes of foreign countries and possessions of the United States,6.Section,1.00,0,1.00
§515. Taxes of foreign countries and possessions of the United States,6.Section,§901. Taxes of foreign countries and of possessions of United States,6.Section,0.74,10,0.73
PART IV—FARMERS' COOPERATIVES,4.Part,PART IV—FARMERS' COOPERATIVES,4.Part,1.00,0,1.00
§521. Exemption of farmers' cooperatives from tax,6.Section,§521. Exemption of farmers' cooperatives from tax,6.Section,1.00,0,1.00
"[§522. Repealed. Pub. L. 87–834, §17(b)(2), Oct. 16, 1962, 76 Stat. 1051]",6.Section,"[§522. Repealed. Pub. L. 87–834, §17(b)(2), Oct. 16, 1962, 76 Stat. 1051]",6.Section,1.00,0,1.00
PART V—SHIPOWNERS' PROTECTION AND INDEMNITY ASSOCIATIONS,4.Part,PART V—SHIPOWNERS' PROTECTION AND INDEMNITY ASSOCIATIONS,4.Part,1.00,0,1.00
§526. Shipowners' protection and indemnity associations,6.Section,§526. Shipowners' protection and indemnity associations,6.Section,1.00,0,1.00
PART VI—POLITICAL ORGANIZATIONS,4.Part,PART VI—POLITICAL ORGANIZATIONS,4.Part,1.00,0,1.00
§527. Political organizations,6.Section,§527. Political organizations,6.Section,1.00,0,1.00
PART VII—CERTAIN HOMEOWNERS ASSOCIATIONS,4.Part,PART VII—CERTAIN HOMEOWNERS ASSOCIATIONS,4.Part,1.00,0,1.00
PART VII—CERTAIN HOMEOWNERS ASSOCIATIONS,4.Part,PART VIII—CERTAIN SAVINGS ENTITIES,4.Part,0.81,17,0.14
§528. Certain homeowners associations,6.Section,§528. Certain homeowners associations,6.Section,1.00,0,1.00
PART VIII—CERTAIN SAVINGS ENTITIES,4.Part,PART VIII—SPECIAL DEDUCTIONS FOR CORPORATIONS,4.Part,0.80,27,0.12
PART VIII—CERTAIN SAVINGS ENTITIES,4.Part,PART VII—CERTAIN HOMEOWNERS ASSOCIATIONS,4.Part,0.81,17,0.14
PART VIII—CERTAIN SAVINGS ENTITIES,4.Part,PART VIII—CERTAIN SAVINGS ENTITIES,4.Part,1.00,0,1.00
§529. Qualified tuition programs,6.Section,§529. Qualified tuition programs,6.Section,1.00,0,1.00
§529. Qualified tuition programs,6.Section,§529A. Qualified ABLE programs,6.Section,0.81,8,0.33
§529A. Qualified ABLE programs,6.Section,§529. Qualified tuition programs,6.Section,0.81,8,0.33
§529A. Qualified ABLE programs,6.Section,§529A. Qualified ABLE programs,6.Section,1.00,0,1.00
§530. Coverdell education savings accounts,6.Section,§530. Coverdell education savings accounts,6.Section,1.00,0,1.00
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,1.00,0,1.00
PART I—CORPORATIONS IMPROPERLY ACCUMULATING SURPLUS,4.Part,PART I—DISTRIBUTIONS BY CORPORATIONS,4.Part,0.82,32,0.12
PART I—CORPORATIONS IMPROPERLY ACCUMULATING SURPLUS,4.Part,PART I—CORPORATIONS IMPROPERLY ACCUMULATING SURPLUS,4.Part,1.00,0,1.00
PART I—CORPORATIONS IMPROPERLY ACCUMULATING SURPLUS,4.Part,PART I—REGULATED INVESTMENT COMPANIES,4.Part,0.81,34,0.12
§531. Imposition of accumulated earnings tax,6.Section,§531. Imposition of accumulated earnings tax,6.Section,1.00,0,1.00
§532. Corporations subject to accumulated earnings tax,6.Section,§532. Corporations subject to accumulated earnings tax,6.Section,1.00,0,1.00
§533. Evidence of purpose to avoid income tax,6.Section,§533. Evidence of purpose to avoid income tax,6.Section,1.00,0,1.00
§534. Burden of proof,6.Section,§534. Burden of proof,6.Section,1.00,0,1.00
§534. Burden of proof,6.Section,§7491. Burden of proof,6.Section,0.57,4,0.60
§535. Accumulated taxable income,6.Section,§535. Accumulated taxable income,6.Section,1.00,0,1.00
§536. Income not placed on annual basis,6.Section,§536. Income not placed on annual basis,6.Section,1.00,0,1.00
§536. Income not placed on annual basis,6.Section,§546. Income not placed on annual basis,6.Section,0.87,1,0.75
§537. Reasonable needs of the business,6.Section,§537. Reasonable needs of the business,6.Section,1.00,0,1.00
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—TAX ON CORPORATIONS,4.Part,0.87,18,0.14
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—CORPORATE LIQUIDATIONS,4.Part,0.89,19,0.17
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—PRIVATE FOUNDATIONS,4.Part,0.91,19,0.17
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—PERSONAL HOLDING COMPANIES,4.Part,1.00,0,1.00
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—INCOME IN RESPECT OF DECEDENTS,4.Part,0.82,26,0.11
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—OTHER INSURANCE COMPANIES,4.Part,0.86,15,0.33
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—REAL ESTATE INVESTMENT TRUSTS,4.Part,0.84,25,0.12
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—TAX TREATMENT OF SHAREHOLDERS,4.Part,0.86,26,0.12
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—CERTAIN CONTROLLED CORPORATIONS,4.Part,0.86,20,0.14
PART II—PERSONAL HOLDING COMPANIES,4.Part,PART II—PARTNERSHIP ADJUSTMENTS,4.Part,0.83,19,0.17
§541. Imposition of personal holding company tax,6.Section,§541. Imposition of personal holding company tax,6.Section,1.00,0,1.00
§541. Imposition of personal holding company tax,6.Section,§542. Definition of personal holding company,6.Section,0.72,10,0.44
§542. Definition of personal holding company,6.Section,§541. Imposition of personal holding company tax,6.Section,0.72,10,0.44
§542. Definition of personal holding company,6.Section,§542. Definition of personal holding company,6.Section,1.00,0,1.00
§543. Personal holding company income,6.Section,§543. Personal holding company income,6.Section,1.00,0,1.00
§543. Personal holding company income,6.Section,§545. Undistributed personal holding company income,6.Section,0.86,16,0.38
§544. Rules for determining stock ownership,6.Section,§544. Rules for determining stock ownership,6.Section,1.00,0,1.00
§544. Rules for determining stock ownership,6.Section,§958. Rules for determining stock ownership,6.Section,0.70,3,0.71
§545. Undistributed personal holding company income,6.Section,§543. Personal holding company income,6.Section,0.86,16,0.38
§545. Undistributed personal holding company income,6.Section,§545. Undistributed personal holding company income,6.Section,1.00,0,1.00
§546. Income not placed on annual basis,6.Section,§536. Income not placed on annual basis,6.Section,0.87,1,0.75
§546. Income not placed on annual basis,6.Section,§546. Income not placed on annual basis,6.Section,1.00,0,1.00
§547. Deduction for deficiency dividends,6.Section,§547. Deduction for deficiency dividends,6.Section,1.00,0,1.00
§547. Deduction for deficiency dividends,6.Section,§860. Deduction for deficiency dividends,6.Section,0.61,3,0.67
[PART III—REPEALED],4.Part,[PART V—REPEALED],4.Part,0.77,3,0.33
[PART III—REPEALED],4.Part,[PART VIII—REPEALED],4.Part,0.75,1,0.33
[PART III—REPEALED],4.Part,[PART IV—REPEALED],4.Part,0.82,2,0.33
[PART III—REPEALED],4.Part,[PART VII—REPEALED],4.Part,0.77,1,0.33
[PART III—REPEALED],4.Part,[PART III—REPEALED],4.Part,1.00,0,1.00
[PART III—REPEALED],4.Part,[PART II—REPEALED],4.Part,0.83,1,0.33
[PART III—REPEALED],4.Part,[PART IV—REPEALED],4.Part,0.82,2,0.33
[PART III—REPEALED],4.Part,[PART V—REPEALED],4.Part,0.77,3,0.33
[PART III—REPEALED],4.Part,[PART V—REPEALED],4.Part,0.77,3,0.33
[PART III—REPEALED],4.Part,[PART VI—REPEALED],4.Part,0.81,2,0.33
[PART III—REPEALED],4.Part,[PART VIII—REPEALED],4.Part,0.75,1,0.33
[PART III—REPEALED],4.Part,[PART IX—REPEALED],4.Part,0.76,2,0.33
[PART III—REPEALED],4.Part,[PART III—REPEALED],4.Part,1.00,0,1.00
[PART III—REPEALED],4.Part,[PART IV—REPEALED],4.Part,0.82,2,0.33
[PART III—REPEALED],4.Part,[PART VI—REPEALED],4.Part,0.81,2,0.33
[PART III—REPEALED],4.Part,PART I—IN GENERAL,4.Part,0.52,10,0.00
[PART III—REPEALED],4.Part,[CHAPTER 5—REPEALED],2.Chapter,0.70,7,0.00
[PART III—REPEALED],4.Part,PART I—IN GENERAL,4.Part,0.52,10,0.00
[PART III—REPEALED],4.Part,PART II—TIRES,4.Part,0.59,10,0.00
[PART III—REPEALED],4.Part,[PART II—REPEALED],4.Part,0.83,1,0.33
[PART III—REPEALED],4.Part,PART III—FIREARMS,4.Part,0.72,8,0.00
[PART III—REPEALED],4.Part,PART I—PERSONS,4.Part,0.50,10,0.00
[PART III—REPEALED],4.Part,PART II—PROPERTY,4.Part,0.58,9,0.00
[PART III—REPEALED],4.Part,[CHAPTER 37—REPEALED],2.Chapter,0.71,8,0.00
[PART III—REPEALED],4.Part,[CHAPTER 38—REPEALED] 1,2.Chapter,0.65,10,0.00
[PART III—REPEALED],4.Part,[PART III—REPEALED],4.Part,1.00,0,1.00
[PART III—REPEALED],4.Part,PART II—OPERATIONS,4.Part,0.59,10,0.00
[PART III—REPEALED],4.Part,PART IV—GENERAL,4.Part,0.56,9,0.00
[PART III—REPEALED],4.Part,PART II—OPERATIONS,4.Part,0.59,10,0.00
[PART III—REPEALED],4.Part,[PART III—REPEALED],4.Part,1.00,0,1.00
[PART III—REPEALED],4.Part,[PART V—REPEALED],4.Part,0.77,3,0.33
[PART III—REPEALED],4.Part,PART I—IN GENERAL,4.Part,0.52,10,0.00
[PART III—REPEALED],4.Part,PART II—LIENS,4.Part,0.58,10,0.00
[PART III—REPEALED],4.Part,PART II—LEVY,4.Part,0.57,9,0.00
[PART III—REPEALED],4.Part,PART II—PROCEDURE,4.Part,0.59,10,0.00
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§114. Repealed. Pub. L. 108–357, title I, §101(a), Oct. 22, 2004, 118 Stat. 1423]",6.Section,0.80,20,0.50
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,1.00,0,1.00
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§§860H to 860L. Repealed. Pub. L. 108–357, title VIII, §835(a), Oct. 22, 2004, 118 Stat. 1593]",6.Section,0.76,19,0.52
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§§941 to 943. Repealed. Pub. L. 108–357, title I, §101(b)(1), Oct. 22, 2004, 118 Stat. 1423]",6.Section,0.75,13,0.52
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§1056. Repealed. Pub. L. 108–357, title VIII, §886(b)(1)(A), Oct. 22, 2004, 118 Stat. 1641]",6.Section,0.78,22,0.50
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§§1081 to 1083. Repealed. Pub. L. 109–135, title IV, §402(a)(1), Dec. 21, 2005, 119 Stat. 2610]",6.Section,0.81,21,0.28
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§§1246, 1247. Repealed. Pub. L. 108–357, title IV, §413(a)(2), (3), Oct. 22, 2004, 118 Stat. 1506]",6.Section,0.76,16,0.60
"[§§551 to 558. Repealed. Pub. L. 108–357, title IV, §413(a)(1), Oct. 22, 2004, 118 Stat. 1506]",6.Section,"[§6156. Repealed. Pub. L. 108–357, title VIII, §867(b)(1), Oct. 22, 2004, 118 Stat. 1622]",6.Section,0.73,19,0.50
PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,PART IV—CREDITS AGAINST TAX,4.Part,0.85,21,0.12
PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,1.00,0,1.00
PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,PART IV—MINERAL PRODUCTION PAYMENTS,4.Part,0.83,25,0.12
PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,PART IV—TAXABLE ESTATE,4.Part,0.80,23,0.14
PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,PART IV—DECLARATORY JUDGMENTS,4.Part,0.81,20,0.14
§561. Definition of deduction for dividends paid,6.Section,§561. Definition of deduction for dividends paid,6.Section,1.00,0,1.00
§562. Rules applicable in determining dividends eligible for dividends paid deduction,6.Section,§562. Rules applicable in determining dividends eligible for dividends paid deduction,6.Section,1.00,0,1.00
§563. Rules relating to dividends paid after close of taxable year,6.Section,§563. Rules relating to dividends paid after close of taxable year,6.Section,1.00,0,1.00
§564. Dividend carryover,6.Section,§564. Dividend carryover,6.Section,1.00,0,1.00
§565. Consent dividends,6.Section,§565. Consent dividends,6.Section,1.00,0,1.00
Subchapter H—Banking Institutions,3.Subchapter,Subchapter H—Banking Institutions,3.Subchapter,1.00,0,1.00
PART I—RULES OF GENERAL APPLICATION TO BANKING INSTITUTIONS,4.Part,PART I—RULES OF GENERAL APPLICATION TO BANKING INSTITUTIONS,4.Part,1.00,0,1.00
§581. Definition of bank,6.Section,§581. Definition of bank,6.Section,1.00,0,1.00
§581. Definition of bank,6.Section,§641. Imposition of tax,6.Section,0.43,10,0.14
§581. Definition of bank,6.Section,§971. Definitions,6.Section,0.43,10,0.00
§581. Definition of bank,6.Section,§2501. Imposition of tax,6.Section,0.34,10,0.14
§581. Definition of bank,6.Section,§2801. Imposition of tax,6.Section,0.47,10,0.14
§581. Definition of bank,6.Section,§4081. Imposition of tax,6.Section,0.39,10,0.14
§581. Definition of bank,6.Section,§4181. Imposition of tax,6.Section,0.48,10,0.14
§581. Definition of bank,6.Section,§4216. Definition of price,6.Section,0.54,8,0.33
§581. Definition of bank,6.Section,§4481. Imposition of tax,6.Section,0.42,10,0.14
§581. Definition of bank,6.Section,§4681. Imposition of tax,6.Section,0.45,10,0.14
§581. Definition of bank,6.Section,§5388. Designation of wines,6.Section,0.61,9,0.14
§581. Definition of bank,6.Section,§5801. Imposition of tax,6.Section,0.64,9,0.14
§581. Definition of bank,6.Section,§5845. Definitions,6.Section,0.63,10,0.00
"§582. Bad debts, losses, and gains with respect to securities held by financial institutions",6.Section,"§582. Bad debts, losses, and gains with respect to securities held by financial institutions",6.Section,1.00,0,1.00
"[§583. Repealed. Pub. L. 94–455, title XIX, §1901(a)(82), Oct. 4, 1976, 90 Stat. 1778]",6.Section,"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,0.82,13,0.56
