Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
Amortizable bond premium,6.Section,0,Amortizable bond premium,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Net operating loss deduction,6.Section,0,Net operating loss deduction,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Circulation expenditures,6.Section,0,Circulation expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Research and experimental expenditures,6.Section,0,Research and experimental expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Soil and water conservation expenditures endangered species recovery expenditures,6.Section,0,Soil and water conservation expenditures endangered species recovery expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Payments with respect to employees of cer tain foreign corporations,6.Section,0,Payments with respect to employees of cer tain foreign corporations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title II a,6.Section,0,Repealed Pub L title II a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Amortization of cost of acquiring a lease,6.Section,0,Amortization of cost of acquiring a lease,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Election to expense certain depreciable business assets,6.Section,0,Election to expense certain depreciable business assets,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Repealed Pub L div A title II,6.Section,0,A Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Deduction for capital costs incurred in complying with Environmental Protection,6.Section,0,B Deduction for capital costs incurred in complying with Environmental Protection,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
C Election to expense certain refineries,6.Section,0,C Election to expense certain refineries,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
D Energy efficient commercial buildings de duction,6.Section,0,D Energy efficient commercial buildings de duction,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
E Election to expense advanced mine safety equipment,6.Section,0,E Election to expense advanced mine safety equipment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenditures by farmers for fertilizer etc,6.Section,0,Expenditures by farmers for fertilizer etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of certain qualified film and television and live theatrical productions,6.Section,0,Treatment of certain qualified film and tel evision and live theatrical productions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title IV a,6.Section,0,Repealed Pub L title IV a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Activities not engaged in for profit,6.Section,0,Activities not engaged in for profit,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XI,6.Section,0,Repealed Pub L title XI,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title II a,6.Section,0,Repealed Pub L title II a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recoveries of damages for antitrust viola tions etc,6.Section,0,Recoveries of damages for antitrust viola tions etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XI,6.Section,0,Repealed Pub L title XI,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenditures to remove architectural and transportation barriers to the handicapped,6.Section,0,Expenditures to remove architectural and transportation barriers to the handicapped,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title II d,6.Section,0,Repealed Pub L title II d,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Contributions to black lung benefit trust,6.Section,0,Contributions to black lung benefit trust,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Tertiary injectants,6.Section,0,Tertiary injectants,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of reforestation expenditures,6.Section,0,Treatment of reforestation expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Contributions to employer liability trusts,6.Section,0,A Contributions to employer liability trusts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Startup expenditures,6.Section,0,Startup expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Deduction for certain unused business credits,6.Section,0,Deduction for certain unused business credits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Amortization of goodwill and certain other intangibles,6.Section,0,Amortization of goodwill and certain other intangibles,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expensing of environmental remediation costs,6.Section,0,Expensing of environmental remediation costs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Repealed Pub L div A title II,6.Section,0,A Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title I a,6.Section,0,Repealed Pub L title I a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Qualified business income,6.Section,0,A Qualified business income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions and special rules,6.Section,0,Definitions and special rules,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imposition and rate of tax,6.Section,0,Imposition and rate of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Liability for payment The tax imposed by this shall be paid,6.Section,0,Liability for payment The tax im posed b y this c hapter sh all be p aid,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unified credit against estate tax,6.Section,0,Unified credit against estate tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L div A title II,6.Section,0,Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit for gift tax,6.Section,0,Credit for gift tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit for tax on prior transfers,6.Section,0,Credit for tax on prior transfers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit for foreign death taxes,6.Section,0,Credit for foreign death taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recovery of taxes claimed as credit If any tax claimed as a credit under,6.Section,0,Recovery of taxes claimed as credit If any t ax claim ed a s a cred it under sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of gross estate,6.Section,0,Definition of gross estate,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Alternate valuation,6.Section,0,Alternate valuation,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Valuation of certain farm etc real property,6.Section,0,A Valuation of certain farm etc real prop erty,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property in which the decedent had an interest,6.Section,0,Property in which the decedent had an in terest,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Renumbered,6.Section,0,A Renumbered,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dower or curtesy interests The value of the gross estate shall include the,6.Section,0,Dower or curtesy interests The val ue of the gross est ate sh all i nclude th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Adjustments for certain gifts made within years of decedents death,6.Section,0,Adjustments for certain gifts made within years of decedent s death,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfers with retained life estate,6.Section,0,Transfers with retained life estate,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfers taking effect at death,6.Section,0,Transfers taking effect at death,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Revocable transfers,6.Section,0,Revocable transfers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Annuities,6.Section,0,Annuities,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Joint interests,6.Section,0,Joint interests,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Powers of appointment,6.Section,0,Powers of appointment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Proceeds of life insurance The value of the gross estate shall include the,6.Section,0,Proceeds of life insurance The val ue of the gross est ate sh all i nclude th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfers for insufficient consideration,6.Section,0,Transfers for insufficient consideration,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain property for which marital deduc tion was previously allowed,6.Section,0,Certain property for which marital deduc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prior interests Except as otherwise specifically provided by,6.Section,0,Prior interests Except a s otherwise sp ecifically pro vided b y la w,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disclaimers For provisions relating to the effect of a qualified,6.Section,0,Disclaimers For provisions relating to the effect of a qualified,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of taxable estate For purposes of the tax imposed by,6.Section,0,Definition of taxable estate For pu rposes o f the tax im posed b y sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XX,6.Section,0,Repealed Pub L title XX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenses indebtedness and taxes,6.Section,0,Expenses indebtedness and taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Losses For purposes of the tax imposed by,6.Section,0,Losses For pu rposes o f the tax im posed b y sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfers for public charitable and reli gious uses,6.Section,0,Transfers for public charitable and reli gious uses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bequests etc to surviving spouse,6.Section,0,Bequests etc to surviving spouse,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Qualified domestic trust,6.Section,0,A Qualified domestic trust,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L div A title II,6.Section,0,Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
State death taxes,6.Section,0,State death taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenses for household and dependent care services necessary for gainful employment,6.Section,0,Expenses for household and dependent care services necessary for gainful employment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Tax imposed,6.Section,0,Tax imposed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credits against tax,6.Section,0,Credits against tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of gross estate For the purpose of the tax imposed by,6.Section,0,Definition of gross estate For th e pu rpose o f the tax im posed b y sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property within the United States,6.Section,0,Property within the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property without the United States,6.Section,0,Property without the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable estate,6.Section,0,Taxable estate,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expatriation to avoid tax,6.Section,0,Expatriation to avoid tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Application of pre estate tax provi sions,6.Section,0,Application of pre estate tax provi sions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Allowance of deductions In computing taxable income under,6.Section,0,Allowance of deductions In co mputing taxable income under sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenses for production of income In the case of an individual there shall be al,6.Section,0,Expenses for production of income In th e ca se o f an individual th ere sh all be al,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Medical dental etc expenses,6.Section,0,Medical dental etc expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title V,6.Section,0,Repealed Pub L title V,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Deduction of taxes interest and business depreciation by cooperative housing cor,6.Section,0,Deduction of taxes interest and business depreciation by cooperative housing corpora,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Moving expenses,6.Section,0,Moving expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title I a,6.Section,0,Repealed Pub L title I a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Retirement savings,6.Section,0,Retirement savings,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit for the elderly and the permanently and totally disabled,6.Section,0,Credit for the elderly and the permanently and totally disabled,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Archer MSAs,6.Section,0,Archer MSAs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Combat zonerelated deaths of members of the Armed Forces deaths of astronauts,6.Section,0,Combat zonerelated deaths of members of the Armed F orces deaths of astronauts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of executor The term executor wherever it is used in,6.Section,0,Definition of executor The te rm executor wherever it is u sed i n this,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Discharge of fiduciary from personal li ability,6.Section,0,Discharge of fiduciary from personal li ability,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Reimbursement out of estate If the tax or any thereof is paid by or col,6.Section,0,Reimbursement out of estate If the tax or any p art th ereof is paid by or co l,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Liability of life insurance beneficiaries Unless the decedent directs otherwise in his,6.Section,0,Liability of life insurance beneficiaries Unless th e deced ent directs otherwise i n his w ill,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Liability of recipient of property over which decedent had power of appointment,6.Section,0,Liability of recipient of property over which decedent had power of appointment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Right of recovery in the case of certain marital deduction property,6.Section,0,A Right of recovery in the case of certain marital deduction property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Right of recovery where decedent re tained interest,6.Section,0,B Right of recovery where decedent re tained interest,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain residents of possessions consid ered citizens of the United States,6.Section,0,Certain residents of possessions consid ered citizens of the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain residents of possessions consid ered nonresidents not citizens of the United,6.Section,0,Certain residents of possessions consid ered nonresidents not citizens of the United,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Interest on education loans,6.Section,0,Interest on education loans,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title III,6.Section,0,Repealed Pub L title III,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Qualified tuition and related expenses,6.Section,0,Qualified tuition and related expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Health savings accounts,6.Section,0,Health savings accounts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross reference,6.Section,0,Cross references,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Adoption expenses,6.Section,0,Adoption expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Child tax credit,6.Section,0,Child tax credit,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Allowance of special deductions In addition to the deductions provided in,6.Section,0,Allowance of special deductions In addition to th e deductions pro vided i n,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dividends received by corporations,6.Section,0,Dividends received by corporations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L div A title II,6.Section,0,Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dividends received from certain foreign corporations,6.Section,0,Dividends received from certain foreign corporations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Deduction for foreign sourceportion of dividends received by domestic corporations,6.Section,0,A Deduction for foreign sourceportion of dividends received by domestic corporations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rules applying to deductions for dividends received,6.Section,0,Rules applying to deductions for dividends received,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Dividends received deduction reduced where portfolio stock is debt financed,6.Section,0,A Dividends received deduction reduced where portfolio stock is debt financed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Contributions to Alaska Native Settlement Trusts,6.Section,0,Contributions to Alaska Native Settlement Trusts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Organizational expenditures,6.Section,0,Organizational expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Limitation on deduction of bond premium on repurchase,6.Section,0,Limitation on deduction of bond premium on repurchase,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Interest on certain home mortgages,6.Section,0,Interest on certain home mortgages,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Foreignderived intangible income and global intangible lowtaxed income,6.Section,0,Foreignderived intangible income and global intangible lowtaxed income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imposition of tax,6.Section,0,Imposition of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rate of tax,6.Section,0,Rate of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable gifts,6.Section,0,Taxable gifts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable gifts for preceding calendar peri ods,6.Section,0,Taxable gifts for preceding calendar peri ods,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unified credit against gift tax,6.Section,0,Unified credit against gift tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfers in general,6.Section,0,Transfers in general,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Valuation of gifts,6.Section,0,Valuation of gifts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Gift by husband or wife to third party,6.Section,0,Gift by husband or wife to third party,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Powers of appointment,6.Section,0,Powers of appointment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of generationskipping transfer tax,6.Section,0,Treatment of generationskipping transfer,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Repealed Pub L title IV,6.Section,0,A Repealed Pub L title IV,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain property settlements Where a husband and wife enter into a written,6.Section,0,Certain property settlements Where a h usband and w ife enter into a w ritten,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XVIII,6.Section,0,Repealed Pub L title XVIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disclaimers,6.Section,0,Disclaimers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dispositions of certain life estates,6.Section,0,Dispositions of certain life estates,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XX,6.Section,0,Repealed Pub L title XX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Charitable and similar gifts,6.Section,0,Charitable and similar gifts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Gift to spouse,6.Section,0,Gift to spouse,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Extent of deductions The deductions provided in sections and,6.Section,0,Extent of deductions The deductions pro vided i n sec tions a nd,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Hope and Lifetime Learning credits,6.Section,0,A American Opportunity and Lifetime Learn ing credits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Elective deferrals and IRA contributions by certain individuals,6.Section,0,B Elective deferrals and IRA contributions by certain individuals,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
C Nonbusiness energy property,6.Section,0,C Nonbusiness energy property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
D Residential energy efficient property,6.Section,0,D Residential energy efficient property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Limitation based on tax liability definition of tax liability,6.Section,0,Limitation based on tax liability definition of tax liability,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Tax imposed A tax is hereby imposed on every generation,6.Section,0,Tax imposed A tax is h ereby im posed o n every ge neration,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Amount of tax The amount of the tax imposed by,6.Section,0,Amount of tax The amount of the tax im posed b y sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Liability for tax,6.Section,0,Liability for tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L div A title II,6.Section,0,Repealed Pub L div A title II,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
General rule for disallowance of deduc tions,6.Section,0,General rule for disallowance of deduc tions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Generationskipping transfer defined,6.Section,0,Generationskipping transfer defined,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable termination taxable distribution direct skip,6.Section,0,Taxable termination taxable distribution direct skip,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Skip person and nonskip person defined,6.Section,0,Skip person and nonskip person defined,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Omitted,6.Section,0,Omitted,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Personal living and family expenses,6.Section,0,Personal living and family expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable amount in case of taxable dis tribution,6.Section,0,Taxable amount in case of taxable distri bution,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable amount in case of taxable termi nation,6.Section,0,Taxable amount in case of taxable termi nation,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable amount in case of direct skip For purposes of this the taxable,6.Section,0,Taxable amount in case of direct skip For pu rposes o f this c hapter the taxable amount,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Valuation,6.Section,0,Valuation,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Capital expenditures,6.Section,0,Capital expenditures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
GST exemption,6.Section,0,GST exemption,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special rules for allocation of GST exemp tion,6.Section,0,Special rules for allocation of GST exemp tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Capitalization and inclusion in inventory costs of certain expenses,6.Section,0,A Capitalization and inclusion in inventory costs of certain expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain amounts paid in connection with insurance contracts,6.Section,0,Certain amounts paid in connection with insurance contracts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Applicable rate,6.Section,0,Applicable rate,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Inclusion ratio,6.Section,0,Inclusion ratio,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Expenses and interest relating to taxex empt income,6.Section,0,Expenses and interest relating to taxex empt income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Generation assignment,6.Section,0,Generation assignment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Other definitions,6.Section,0,Other definitions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxation of multiple skips,6.Section,0,Taxation of multiple skips,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special rules,6.Section,0,Special rules,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Carrying charges No deduction shall be allowed for amounts,6.Section,0,Carrying charges No deduction sh all be all owed f or amounts paid,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Administration Insofar as applicable and not inconsistent with,6.Section,0,Administration Insofar as applicable and not inconsiste nt with,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Return requirements,6.Section,0,Return requirements,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Regulations The Secretary shall prescribe such regulations,6.Section,0,Regulations The Secre tary sh all pres cribe su ch reg ulations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title III,6.Section,0,Repealed Pub L title III,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Losses expenses and interest with respect to transactions between related taxpayers,6.Section,0,Losses expenses and interest with respect to transactions between related taxpayers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Certain related party amounts paid or ac crued in hybrid transactions or with hybrid,6.Section,0,A Certain related party amounts paid or ac crued in hybrid transactions or with hybrid,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Sale of land with unharvested crop Where an unharvested crop sold by the tax,6.Section,0,Sale of land with unharvested crop Where a n unharvested cro p so ld by th e taxpay,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Acquisitions made to evade or avoid in come tax,6.Section,0,Acquisitions made to evade or avoid in come tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Personal service corporations formed or availed of to avoid or evade income tax,6.Section,0,A Personal service corporations formed or availed of to avoid or evade income tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Stapled entities,6.Section,0,B Stapled entities,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxes of foreign countries and possessions of the United States possession tax credit,6.Section,0,Taxes of foreign countries and possessions of the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title II b,6.Section,0,Repealed Pub L title II b,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special valuation rules in case of trans fers of certain interests in corporations or,6.Section,0,Special valuation rules in case of trans fers of certain interests in corporations or,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special valuation rules in case of trans fers of interests in trusts,6.Section,0,Special valuation rules in case of trans fers of interests in trusts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain rights and restrictions dis regarded,6.Section,0,Certain rights and restrictions disregard ed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of certain lapsing rights and restrictions,6.Section,0,Treatment of certain lapsing rights and restrictions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Debts owed by political parties etc,6.Section,0,Debts owed by political parties etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disposal of coal or domestic iron ore Where the disposal of coal or iron ore is cov,6.Section,0,Disposal of coal or domestic iron ore Where th e disposal o f coal o r iron ore is co v,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Holders of life or terminable interest Amounts paid under the laws of a State the,6.Section,0,Holders of life or terminable interest Amounts paid under th e la ws o f a S tate th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disallowance of certain entertainment etc expenses,6.Section,0,Disallowance of certain entertainment etc expenses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain taxes,6.Section,0,Certain taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain indirect contributions to political parties,6.Section,0,Certain indirect contributions to political parties,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Deductions incurred by certain member ship organizations in transactions with mem,6.Section,0,Deductions incurred by certain member ship organizations in transactions with mem,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Interest on indebtedness incurred by cor poration to acquire stock or assets of an,6.Section,0,Interest on indebtedness incurred by cor poration to acquire stock or assets of another,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Renumbered C,6.Section,0,Renumbered C,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imposition of tax,6.Section,0,Imposition of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Disallowance of certain expenses in con nection with business use of home rental of,6.Section,0,A Disallowance of certain expenses in con nection with business use of home rental of,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Demolition of structures,6.Section,0,B Demolition of structures In th e ca se o f the demolition of any str ucture,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
C Certain expenses for which credits are al lowable,6.Section,0,C Certain expenses for which credits are al lowable,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
D Repealed Pub L title I,6.Section,0,D Repealed Pub L title I,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
E Expenditures in connection with the ille gal sale of drugs,6.Section,0,E Expenditures in connection with the ille gal sale of drugs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
F Limitation on depreciation for luxury automobiles limitation where certain prop,6.Section,0,F Limitation on depreciation for luxury automobiles limitation where certain prop,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
