Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score,Angle (Degrees)
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART VII—REPEALED],"PART I—P ENSION, PROFIT -SHARING, STOCK BONUS P LAN S, ETC .",4.Part,4.Part,0.60951984,52.44520568847656
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART VII—REPEALED],PART II—CE RTAIN S TOCK O PTI ONS,4.Part,4.Part,0.75048125,41.367916107177734
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"PART I—PENSION, PROFIT-SHARING,   STOCK BONUS PLANS, ETC.","PART I—P ENSION, PROFIT -SHARING, STOCK BONUS P LAN S, ETC .",4.Part,4.Part,0.96869445,14.374337196350098
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"PART I—PENSION, PROFIT-SHARING,   STOCK BONUS PLANS, ETC.",PART II—CE RTAIN S TOCK O PTI ONS,4.Part,4.Part,0.73683894,42.537166595458984
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART II—CERTAIN STOCK OPTIONS,"PART I—P ENSION, PROFIT -SHARING, STOCK BONUS P LAN S, ETC .",4.Part,4.Part,0.7494807,41.45458221435547
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART II—CERTAIN STOCK OPTIONS,PART II—CE RTAIN S TOCK O PTI ONS,4.Part,4.Part,0.8904466,27.07057762145996
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART III—RULES RELATING TO MINIMUM   FUNDING STANDARDS AND BENEFIT,"PART I—P ENSION, PROFIT -SHARING, STOCK BONUS P LAN S, ETC .",4.Part,4.Part,0.70113516,45.481849670410156
"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,"Subchapter D—Deferred Compensation, Etc.",3.Subchapter,PART III—RULES RELATING TO MINIMUM   FUNDING STANDARDS AND BENEFIT,PART II—CE RTAIN S TOCK O PTI ONS,4.Part,4.Part,0.7545166,41.016849517822266
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART I—G ENERAL R ULE,4.Part,4.Part,0.8631401,30.328996658325195
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.8027903,36.60260772705078
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.68304855,46.91767120361328
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.74289024,42.021793365478516
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.6994635,45.616024017333984
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART I—GENERAL RULE,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.80451405,36.4366455078125
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART I—G ENERAL R ULE,4.Part,4.Part,0.7778591,38.935028076171875
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.92308944,22.617998123168945
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.73838073,42.40633773803711
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.78747904,38.0494499206543
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.7678691,39.837074279785156
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART II—PRIVATE FOUNDATIONS,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.8357342,33.30763244628906
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART I—G ENERAL R ULE,4.Part,4.Part,0.67019904,47.91756820678711
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.73592234,42.61478805541992
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.93078494,21.442493438720703
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.7373487,42.49394607543945
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.76802903,39.82276916503906
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART III—TAXATION OF BUSINESS INCOME   OF CERTAIN EXEMPT ORGANIZATIONS,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.82462645,34.44935989379883
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART I—G ENERAL R ULE,4.Part,4.Part,0.73706436,42.5180549621582
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.80314004,36.56898880004883
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.73444325,42.739803314208984
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.8724353,29.25712013244629
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.77770346,38.949214935302734
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART IV—FARMERS’ COOPERATIVES,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.82261205,34.65286636352539
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART I—G ENERAL R ULE,4.Part,4.Part,0.7004474,45.537086486816406
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.7741859,39.268714904785156
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.8254659,34.36423873901367
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.798313,37.03068923950195
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.9138255,23.96051788330078
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART V—SHIPOWNERS’ PROTECTION AND   INDEMNITY ASSOCIATIONS,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.8530386,31.45627784729004
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART I—G ENERAL R ULE,4.Part,4.Part,0.71205866,44.59733581542969
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.77313244,39.36397933959961
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.6876489,46.55570983886719
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.7300316,43.11095428466797
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.72078294,43.880836486816406
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VI—POLITICAL ORGANIZATIONS,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.8928448,26.76706886291504
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART I—G ENERAL R ULE,4.Part,4.Part,0.7618372,40.37356948852539
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.82531714,34.379337310791016
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.8287574,34.02869415283203
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.8328348,33.60894775390625
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.8797912,28.3828125
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VII—CERTAIN HOMEOWNERS   ASSOCIATIONS,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.8982066,26.07667350769043
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART I—G ENERAL R ULE,4.Part,4.Part,0.76684564,39.92852783203125
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART II—P RIV ATE F OUNDATIONS,4.Part,4.Part,0.8313862,33.75859832763672
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART III—T AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4.Part,0.81203943,35.70432662963867
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART IV—F ARME RS’ COO PERATIVE S,4.Part,4.Part,0.79517734,37.32798767089844
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART V—S HIPOWNERS’ PROTECTI ON AN D INDEMNITY A SSOCI ATIONS,4.Part,4.Part,0.84364766,32.4726676940918
Subchapter F—Exempt Organizations,3.Subchapter,Subchapter F—Exempt Organizations,3.Subchapter,PART VIII—CERTAIN SAVINGS ENTITIES,PART VI—P OLITI CAL O RGANIZATIONS,4.Part,4.Part,0.88801783,27.37478256225586
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART I—CORPORATIONS IMPROPERLY   ACCUMULATING SURPLUS,PART I—CO RPORATIONS IMPROPERLY ACCU MULATING S URPLUS,4.Part,4.Part,0.9566945,16.923458099365234
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART I—CORPORATIONS IMPROPERLY   ACCUMULATING SURPLUS,PART II—P ERSO NAL H OLDING CO MPANIES,4.Part,4.Part,0.8946952,26.530689239501953
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART I—CORPORATIONS IMPROPERLY   ACCUMULATING SURPLUS,PART III—REP EALED],4.Part,4.Part,0.7492068,41.47828674316406
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART I—CORPORATIONS IMPROPERLY   ACCUMULATING SURPLUS,PART IV—D EDUCTI ON F OR D IVIDENDS PAID,4.Part,4.Part,0.75444835,41.02280807495117
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART II—PERSONAL HOLDING COMPANIES,PART I—CO RPORATIONS IMPROPERLY ACCU MULATING S URPLUS,4.Part,4.Part,0.81956136,34.95908737182617
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART II—PERSONAL HOLDING COMPANIES,PART II—P ERSO NAL H OLDING CO MPANIES,4.Part,4.Part,0.88971376,27.162696838378906
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART II—PERSONAL HOLDING COMPANIES,PART III—REP EALED],4.Part,4.Part,0.77085465,39.569297790527344
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART II—PERSONAL HOLDING COMPANIES,PART IV—D EDUCTI ON F OR D IVIDENDS PAID,4.Part,4.Part,0.73855907,42.39118576049805
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART III—REPEALED],PART I—CO RPORATIONS IMPROPERLY ACCU MULATING S URPLUS,4.Part,4.Part,0.7103822,44.733978271484375
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART III—REPEALED],PART II—P ERSO NAL H OLDING CO MPANIES,4.Part,4.Part,0.7178905,44.119407653808594
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART III—REPEALED],PART III—REP EALED],4.Part,4.Part,0.9847167,10.029994010925293
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART III—REPEALED],PART IV—D EDUCTI ON F OR D IVIDENDS PAID,4.Part,4.Part,0.63604826,50.502220153808594
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART IV—DEDUCTION FOR DIVIDENDS   PAID,PART I—CO RPORATIONS IMPROPERLY ACCU MULATING S URPLUS,4.Part,4.Part,0.8308867,33.810062408447266
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART IV—DEDUCTION FOR DIVIDENDS   PAID,PART II—P ERSO NAL H OLDING CO MPANIES,4.Part,4.Part,0.8320978,33.68515396118164
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART IV—DEDUCTION FOR DIVIDENDS   PAID,PART III—REP EALED],4.Part,4.Part,0.7761113,39.09410095214844
Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,Subchapter G—Corporations Used to Avoid Income Tax on Shareholders,3.Subchapter,PART IV—DEDUCTION FOR DIVIDENDS   PAID,PART IV—D EDUCTI ON F OR D IVIDENDS PAID,4.Part,4.Part,0.90198284,25.580059051513672
Subchapter H—Banking Institutions,3.Subchapter,Subchapter H—Banking Institutions,3.Subchapter,PART I—RULES OF GENERAL APPLICATION   TO BANKING INSTITUTIONS,PART I—R ULES O F G ENERAL AP PLICATION TO B ANKING INSTITUTI ONS,4.Part,4.Part,0.87433994,29.03304672241211
Subchapter H—Banking Institutions,3.Subchapter,Subchapter H—Banking Institutions,3.Subchapter,PART I—RULES OF GENERAL APPLICATION   TO BANKING INSTITUTIONS,"PART II—M UTU AL S AVINGS B ANKS, ETC .",4.Part,4.Part,0.7512797,41.29864501953125
Subchapter H—Banking Institutions,3.Subchapter,Subchapter H—Banking Institutions,3.Subchapter,"PART II—MUTUAL SAVINGS BANKS, ETC.",PART I—R ULES O F G ENERAL AP PLICATION TO B ANKING INSTITUTI ONS,4.Part,4.Part,0.77893996,38.83637619018555
Subchapter H—Banking Institutions,3.Subchapter,Subchapter H—Banking Institutions,3.Subchapter,"PART II—MUTUAL SAVINGS BANKS, ETC.","PART II—M UTU AL S AVINGS B ANKS, ETC .",4.Part,4.Part,0.92601436,22.178186416625977
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART I—DEDUCTIONS,PART I—D EDUCTI ONS,4.Part,4.Part,0.88174534,28.146373748779297
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART I—DEDUCTIONS,PART II—REP EALED],4.Part,4.Part,0.8141999,35.491668701171875
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART I—DEDUCTIONS,PART III—S ALES AN D EX CHANGES,4.Part,4.Part,0.7934214,37.493595123291016
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART I—DEDUCTIONS,PART IV—M INERAL P RODUCTI ON P AYME NTS,4.Part,4.Part,0.7413986,42.14930725097656
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART I—DEDUCTIONS,PART V—CO NTI NENTAL S HELF A REAS,4.Part,4.Part,0.74972695,41.433265686035156
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART II—REPEALED],PART I—D EDUCTI ONS,4.Part,4.Part,0.7748525,39.20833206176758
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART II—REPEALED],PART II—REP EALED],4.Part,4.Part,0.9862779,9.502680778503418
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART II—REPEALED],PART III—S ALES AN D EX CHANGES,4.Part,4.Part,0.7214316,43.82719421386719
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART II—REPEALED],PART IV—M INERAL P RODUCTI ON P AYME NTS,4.Part,4.Part,0.70244265,45.37668991088867
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART II—REPEALED],PART V—CO NTI NENTAL S HELF A REAS,4.Part,4.Part,0.7018678,45.422943115234375
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART III—SALES AND EXCHANGES,PART I—D EDUCTI ONS,4.Part,4.Part,0.7384484,42.40058898925781
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART III—SALES AND EXCHANGES,PART II—REP EALED],4.Part,4.Part,0.71477205,44.3754768371582
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART III—SALES AND EXCHANGES,PART III—S ALES AN D EX CHANGES,4.Part,4.Part,0.8676114,29.817752838134766
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART III—SALES AND EXCHANGES,PART IV—M INERAL P RODUCTI ON P AYME NTS,4.Part,4.Part,0.7140927,44.43111038208008
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART III—SALES AND EXCHANGES,PART V—CO NTI NENTAL S HELF A REAS,4.Part,4.Part,0.74623615,41.73461151123047
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART IV—MINERAL PRODUCTION   PAYMENTS,PART I—D EDUCTI ONS,4.Part,4.Part,0.76859283,39.772300720214844
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART IV—MINERAL PRODUCTION   PAYMENTS,PART II—REP EALED],4.Part,4.Part,0.74453986,41.88040542602539
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART IV—MINERAL PRODUCTION   PAYMENTS,PART III—S ALES AN D EX CHANGES,4.Part,4.Part,0.7615622,40.39788055419922
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART IV—MINERAL PRODUCTION   PAYMENTS,PART IV—M INERAL P RODUCTI ON P AYME NTS,4.Part,4.Part,0.8970765,26.22359275817871
Subchapter I—Natural Resources,3.Subchapter,Subchapter I—Natural Resources,3.Subchapter,PART IV—MINERAL PRODUCTION   PAYMENTS,PART V—CO NTI NENTAL S HELF A REAS,4.Part,4.Part,0.8189572,35.01945877075195
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,PART V—CONTINENTAL SHELF AREAS,"PART I—E STATES, TR USTS, AN D BENEFI CIARIES",4.Part,4.Part,0.79005414,37.809425354003906
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,PART V—CONTINENTAL SHELF AREAS,PART II—I NCOME I N RE SPECT O F DECED ENTS,4.Part,4.Part,0.81156063,35.75130844116211
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"PART I—ESTATES, TRUSTS, AND   BENEFICIARIES","PART I—E STATES, TR USTS, AN D BENEFI CIARIES",4.Part,4.Part,0.90858114,24.689992904663086
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"PART I—ESTATES, TRUSTS, AND   BENEFICIARIES",PART II—I NCOME I N RE SPECT O F DECED ENTS,4.Part,4.Part,0.8140346,35.50798416137695
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,PART II—INCOME IN RESPECT OF   DECEDENTS,"PART I—E STATES, TR USTS, AN D BENEFI CIARIES",4.Part,4.Part,0.83217067,33.67762756347656
"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,"Subchapter J—Estates, Trusts, Beneficiaries, and Decedents",3.Subchapter,PART II—INCOME IN RESPECT OF   DECEDENTS,PART II—I NCOME I N RE SPECT O F DECED ENTS,4.Part,4.Part,0.9211434,22.90618133544922
Subchapter L—Insurance Companies,3.Subchapter,Subchapter L—Insurance Companies,3.Subchapter,PART IV—REPEALED],PART IV—REP EALED],4.Part,4.Part,0.9860542,9.580002784729004
Subchapter L—Insurance Companies,3.Subchapter,Subchapter L—Insurance Companies,3.Subchapter,PART IV—REPEALED],PART I—LIFE I NSURAN CE CO MPANIES,4.Part,4.Part,0.7240716,43.60832214355469
Subchapter L—Insurance Companies,3.Subchapter,Subchapter L—Insurance Companies,3.Subchapter,PART IV—REPEALED],PART II—OT HER INSURAN CE CO MPANIES,4.Part,4.Part,0.7432767,41.98870086669922
Subchapter L—Insurance Companies,3.Subchapter,Subchapter L—Insurance Companies,3.Subchapter,PART IV—REPEALED],PART III—P ROVIS IONS O F G ENERAL APPLICATION,4.Part,4.Part,0.719511,43.985877990722656
Subchapter L—Insurance Companies,3.Subchapter,Subchapter L—Insurance Companies,3.Subchapter,PART I—LIFE INSURANCE COMPANIES,PART IV—REP EALED],4.Part,4.Part,0.7378756,42.44923782348633
