2018 Headline,2017 Headline,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
5. **Chapter 15**: Gifts and Bequests from Expatriates,Chapter 15: Gifts and Bequests from Expatriates,0.85,7,0.5
#NAME?,Imposition of tax.,0.81,3,0.75
#NAME?,Imposition of tax.,0.81,3,0.75
#NAME?,Imposition of tax.,0.81,3,0.75
#NAME?,Imposition of tax.,0.81,3,0.75
#NAME?,Sec. 5000B: Imposition of tax.,0.44,10,0.5
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
#### Subtitle C—Employment Taxes,#### Subtitle A—Income Taxes,0.81,8,0.6
#### Subtitle C—Employment Taxes,#### Subtitle C—Employment Taxes,1,0,1
#### Subtitle C—Employment Taxes,#### Subtitle D—Miscellaneous Excise Taxes,0.76,19,0.5
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
1. **Chapter 21**: Federal Insurance Contributions Act,Chapter 21: Federal Insurance Contributions Act,0.89,7,0.44
#NAME?,Tax on employees.,0.84,3,0.75
#NAME?,Tax on employers.,0.73,4,0.4
#NAME?,Tax on petroleum.,0.42,10,0.4
#NAME?,Tax on employees.,0.76,4,0.4
#NAME?,Tax on employers.,0.83,3,0.75
#NAME?,Tax on petroleum.,0.45,10,0.4
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
2. **Chapter 22**: Railroad Retirement Tax Act,Chapter 22: Railroad Retirement Tax Act,0.89,7,0.44
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Sec. 5000A: Tax imposed.,0.44,10,0.4
#NAME?,Sec. 5000C: Tax imposed.,0.45,10,0.4
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Imposition of tax.,0.63,9,0.4
#NAME?,Rates of tax.,0.81,3,0.75
#NAME?,Imposition of tax.,0.63,9,0.4
#NAME?,Imposition of tax.,0.63,9,0.4
#NAME?,Imposition of tax.,0.63,9,0.4
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
3. **Chapter 23**: Federal Unemployment Tax Act,Chapter 23: Federal Unemployment Tax Act,0.85,7,0.44
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Sec. 5000A: Tax imposed.,0.44,10,0.4
#NAME?,Sec. 5000C: Tax imposed.,0.45,10,0.4
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Expenditures.,0.49,10,0
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Authorization.,0.48,9,0
#NAME?,Definitions.,0.83,3,0.5
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
4. **Chapter 23A**: Railroad Unemployment Repayment Tax,Chapter 23A: Railroad Unemployment Repayment Tax,0.82,7,0.44
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Sec. 5000A: Tax imposed.,0.44,10,0.4
#NAME?,Sec. 5000C: Tax imposed.,0.45,10,0.4
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
5. **Chapter 24**: Collection of Income Tax at Source on Wages,Chapter 24: Collection of Income Tax at Source on Wages,0.82,7,0.62
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Expenditures.,0.49,10,0
#NAME?,Definitions.,0.83,3,0.5
#NAME?,Authorization.,0.48,9,0
#NAME?,Definitions.,0.83,3,0.5
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
6. **Chapter 25**: General Provisions Relating to Employment Taxes,Chapter 25: General Provisions Relating to Employment Taxes,0.85,7,0.55
#NAME?,Collection and payment of taxes.,0.85,3,0.83
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
#### Subtitle D—Miscellaneous Excise Taxes,#### Subtitle A—Income Taxes,0.77,18,0.5
#### Subtitle D—Miscellaneous Excise Taxes,#### Subtitle C—Employment Taxes,0.76,19,0.5
#### Subtitle D—Miscellaneous Excise Taxes,#### Subtitle D—Miscellaneous Excise Taxes,1,0,1
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
1. **Chapter 31**: Retail Excise Taxes,Chapter 31: Retail Excise Taxes,0.84,7,0.38
#NAME?,Tax on certain vehicles.,0.86,3,0.8
#NAME?,Tax on motor vehicles.,0.67,9,0.5
#NAME?,Environmental taxes.,0.82,3,0.67
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
